   NID    (HEX)    NODENAME     TYPE    STATUS        MODE
   190     0xbe c0-0c2s15n2  compute        up       batch
   191     0xbf c0-0c2s15n3  compute        up       batch
   192     0xc0  c1-0c0s0n0  compute        up       batch
   193     0xc1  c1-0c0s0n1  compute        up       batch
   194     0xc2  c1-0c0s0n2  compute        up       batch
   195     0xc3  c1-0c0s0n3  compute        up       batch
   196     0xc4  c1-0c0s1n0  compute        up       batch
   197     0xc5  c1-0c0s1n1  compute        up       batch
   198     0xc6  c1-0c0s1n2  compute        up       batch
   199     0xc7  c1-0c0s1n3  compute        up       batch
   200     0xc8  c1-0c0s2n0  compute        up       batch
   201     0xc9  c1-0c0s2n1  compute        up       batch
   202     0xca  c1-0c0s2n2  compute        up       batch
   203     0xcb  c1-0c0s2n3  compute        up       batch
   204     0xcc  c1-0c0s3n0  compute        up       batch
   205     0xcd  c1-0c0s3n1  compute        up       batch
   206     0xce  c1-0c0s3n2  compute        up       batch
   207     0xcf  c1-0c0s3n3  compute        up       batch
   208     0xd0  c1-0c0s4n0  compute        up       batch
   209     0xd1  c1-0c0s4n1  compute        up       batch
   210     0xd2  c1-0c0s4n2  compute        up       batch
   211     0xd3  c1-0c0s4n3  compute        up       batch
   212     0xd4  c1-0c0s5n0  compute        up       batch
   213     0xd5  c1-0c0s5n1  compute        up       batch
   214     0xd6  c1-0c0s5n2  compute        up       batch
   215     0xd7  c1-0c0s5n3  compute        up       batch
   216     0xd8  c1-0c0s6n0  compute        up       batch
   217     0xd9  c1-0c0s6n1  compute        up       batch
   218     0xda  c1-0c0s6n2  compute        up       batch
   219     0xdb  c1-0c0s6n3  compute        up       batch
   220     0xdc  c1-0c0s7n0  compute        up       batch
   221     0xdd  c1-0c0s7n1  compute        up       batch
   222     0xde  c1-0c0s7n2  compute        up       batch
   223     0xdf  c1-0c0s7n3  compute        up       batch
   224     0xe0  c1-0c0s8n0  compute        up       batch
   225     0xe1  c1-0c0s8n1  compute        up       batch
   226     0xe2  c1-0c0s8n2  compute        up       batch
   227     0xe3  c1-0c0s8n3  compute        up       batch
   228     0xe4  c1-0c0s9n0  compute        up       batch
   229     0xe5  c1-0c0s9n1  compute        up       batch
   230     0xe6  c1-0c0s9n2  compute        up       batch
   231     0xe7  c1-0c0s9n3  compute        up       batch
   232     0xe8 c1-0c0s10n0  compute        up       batch
   233     0xe9 c1-0c0s10n1  compute        up       batch
   234     0xea c1-0c0s10n2  compute        up       batch
   235     0xeb c1-0c0s10n3  compute        up       batch
   236     0xec c1-0c0s11n0  compute        up       batch
   237     0xed c1-0c0s11n1  compute        up       batch
   238     0xee c1-0c0s11n2  compute        up       batch
   239     0xef c1-0c0s11n3  compute        up       batch
   240     0xf0 c1-0c0s12n0  compute        up       batch
   241     0xf1 c1-0c0s12n1  compute        up       batch
   242     0xf2 c1-0c0s12n2  compute        up       batch
   243     0xf3 c1-0c0s12n3  compute        up       batch
   244     0xf4 c1-0c0s13n0  compute        up       batch
   245     0xf5 c1-0c0s13n1  compute        up       batch
   246     0xf6 c1-0c0s13n2  compute        up       batch
   247     0xf7 c1-0c0s13n3  compute        up       batch
   248     0xf8 c1-0c0s14n0  compute        up       batch
   249     0xf9 c1-0c0s14n1  compute        up       batch
   250     0xfa c1-0c0s14n2  compute        up       batch
   251     0xfb c1-0c0s14n3  compute        up       batch
   252     0xfc c1-0c0s15n0  compute        up       batch
   253     0xfd c1-0c0s15n1  compute        up       batch
   254     0xfe c1-0c0s15n2  compute        up       batch
   255     0xff c1-0c0s15n3  compute        up       batch
   256    0x100  c1-0c1s0n0  compute        up       batch
   257    0x101  c1-0c1s0n1  compute        up       batch
   258    0x102  c1-0c1s0n2  compute        up       batch
   259    0x103  c1-0c1s0n3  compute        up       batch
   260    0x104  c1-0c1s1n0  compute        up       batch
   261    0x105  c1-0c1s1n1  compute        up       batch
   262    0x106  c1-0c1s1n2  compute        up       batch
   263    0x107  c1-0c1s1n3  compute        up       batch
   264    0x108  c1-0c1s2n0  compute        up       batch
   265    0x109  c1-0c1s2n1  compute        up       batch
   266    0x10a  c1-0c1s2n2  compute        up       batch
   267    0x10b  c1-0c1s2n3  compute        up       batch
   268    0x10c  c1-0c1s3n0  compute        up       batch
   269    0x10d  c1-0c1s3n1  compute        up       batch
   270    0x10e  c1-0c1s3n2  compute        up       batch
   271    0x10f  c1-0c1s3n3  compute        up       batch
   272    0x110  c1-0c1s4n0  compute        up       batch
   273    0x111  c1-0c1s4n1  compute        up       batch
   274    0x112  c1-0c1s4n2  compute        up       batch
   275    0x113  c1-0c1s4n3  compute        up       batch
   276    0x114  c1-0c1s5n0  compute        up       batch
   277    0x115  c1-0c1s5n1  compute        up       batch
   278    0x116  c1-0c1s5n2  compute        up       batch
   279    0x117  c1-0c1s5n3  compute        up       batch
   280    0x118  c1-0c1s6n0  compute        up       batch
   281    0x119  c1-0c1s6n1  compute        up       batch
   282    0x11a  c1-0c1s6n2  compute        up       batch
   283    0x11b  c1-0c1s6n3  compute        up       batch
   284    0x11c  c1-0c1s7n0  compute        up       batch
   285    0x11d  c1-0c1s7n1  compute        up       batch
   286    0x11e  c1-0c1s7n2  compute        up       batch
   287    0x11f  c1-0c1s7n3  compute        up       batch
   288    0x120  c1-0c1s8n0  compute        up       batch
   289    0x121  c1-0c1s8n1  compute        up       batch
   290    0x122  c1-0c1s8n2  compute        up       batch
   291    0x123  c1-0c1s8n3  compute        up       batch
   292    0x124  c1-0c1s9n0  compute        up       batch
   293    0x125  c1-0c1s9n1  compute        up       batch
   294    0x126  c1-0c1s9n2  compute        up       batch
   295    0x127  c1-0c1s9n3  compute        up       batch
   296    0x128 c1-0c1s10n0  compute        up       batch
   297    0x129 c1-0c1s10n1  compute        up       batch
   298    0x12a c1-0c1s10n2  compute        up       batch
   299    0x12b c1-0c1s10n3  compute        up       batch
   300    0x12c c1-0c1s11n0  compute        up       batch
   301    0x12d c1-0c1s11n1  compute        up       batch
   302    0x12e c1-0c1s11n2  compute        up       batch
   303    0x12f c1-0c1s11n3  compute        up       batch
   304    0x130 c1-0c1s12n0  compute        up       batch
   305    0x131 c1-0c1s12n1  compute        up       batch
   306    0x132 c1-0c1s12n2  compute        up       batch
   307    0x133 c1-0c1s12n3  compute        up       batch
   308    0x134 c1-0c1s13n0  compute        up       batch
   309    0x135 c1-0c1s13n1  compute        up       batch
   310    0x136 c1-0c1s13n2  compute        up       batch
   311    0x137 c1-0c1s13n3  compute        up       batch
   312    0x138 c1-0c1s14n0  compute        up       batch
   313    0x139 c1-0c1s14n1  compute        up       batch
   314    0x13a c1-0c1s14n2  compute        up       batch
   315    0x13b c1-0c1s14n3  compute        up       batch
   316    0x13c c1-0c1s15n0  compute        up       batch
   317    0x13d c1-0c1s15n1  compute        up       batch
   318    0x13e c1-0c1s15n2  compute        up       batch
   319    0x13f c1-0c1s15n3  compute        up       batch
   320    0x140  c1-0c2s0n0  compute        up       batch
   321    0x141  c1-0c2s0n1  compute        up       batch
   322    0x142  c1-0c2s0n2  compute        up       batch
   323    0x143  c1-0c2s0n3  compute        up       batch
